7.4766 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.075, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Check the results file in the data sub folder', units=u'norm', win=Window(...), wrapWidth=1.8)
7.4772 	EXP 	window1: recordFrameIntervals = False
7.4793 	EXP 	window1: blendMode = 'avg'
7.4873 	EXP 	instr1: autoDraw = True
7.4877 	EXP 	window1: recordFrameIntervals = False
7.9618 	EXP 	window1: blendMode = 'avg'
7.9726 	EXP 	window1: blendMode = 'avg'
7.9900 	EXP 	window1: blendMode = 'avg'
8.0048 	EXP 	window1: blendMode = 'avg'
8.0237 	EXP 	window1: blendMode = 'avg'
8.0400 	EXP 	window1: blendMode = 'avg'
8.0557 	EXP 	window1: blendMode = 'avg'
8.0731 	EXP 	window1: blendMode = 'avg'
8.0892 	EXP 	window1: blendMode = 'avg'
8.1063 	EXP 	window1: blendMode = 'avg'
8.1218 	EXP 	window1: blendMode = 'avg'
8.1400 	EXP 	window1: blendMode = 'avg'
8.1555 	EXP 	window1: blendMode = 'avg'
8.1734 	EXP 	window1: blendMode = 'avg'
8.1898 	EXP 	window1: blendMode = 'avg'
8.2071 	EXP 	window1: blendMode = 'avg'
8.2237 	EXP 	window1: blendMode = 'avg'
8.2383 	EXP 	window1: blendMode = 'avg'
8.2567 	EXP 	window1: blendMode = 'avg'
8.2727 	EXP 	window1: blendMode = 'avg'
8.2903 	EXP 	window1: blendMode = 'avg'
8.3070 	EXP 	window1: blendMode = 'avg'
8.3232 	EXP 	window1: blendMode = 'avg'
8.3398 	EXP 	window1: blendMode = 'avg'
8.3547 	EXP 	window1: blendMode = 'avg'
8.3739 	EXP 	window1: blendMode = 'avg'
8.3894 	EXP 	window1: blendMode = 'avg'
8.4072 	EXP 	window1: blendMode = 'avg'
8.4238 	EXP 	window1: blendMode = 'avg'
8.4400 	EXP 	window1: blendMode = 'avg'
8.4561 	EXP 	window1: blendMode = 'avg'
8.4733 	EXP 	window1: blendMode = 'avg'
8.4909 	EXP 	window1: blendMode = 'avg'
8.5067 	EXP 	window1: blendMode = 'avg'
8.5256 	DATA 	Keypress: space
8.5279 	EXP 	window1: blendMode = 'avg'
8.5375 	EXP 	instr1: autoDraw = False
8.5375 	EXP 	inst2: autoDraw = True
8.5384 	EXP 	window1: blendMode = 'avg'
8.5565 	EXP 	window1: blendMode = 'avg'
8.5747 	EXP 	window1: blendMode = 'avg'
8.5902 	EXP 	window1: blendMode = 'avg'
8.6066 	EXP 	window1: blendMode = 'avg'
8.6240 	EXP 	window1: blendMode = 'avg'
8.6408 	EXP 	window1: blendMode = 'avg'
8.6560 	EXP 	window1: blendMode = 'avg'
8.6734 	EXP 	window1: blendMode = 'avg'
8.6915 	EXP 	window1: blendMode = 'avg'
8.7081 	EXP 	window1: blendMode = 'avg'
8.7226 	EXP 	window1: blendMode = 'avg'
8.7404 	EXP 	window1: blendMode = 'avg'
8.7563 	EXP 	window1: blendMode = 'avg'
8.7733 	EXP 	window1: blendMode = 'avg'
8.7903 	EXP 	window1: blendMode = 'avg'
8.8057 	EXP 	window1: blendMode = 'avg'
8.8222 	EXP 	window1: blendMode = 'avg'
8.8402 	EXP 	window1: blendMode = 'avg'
8.8570 	EXP 	window1: blendMode = 'avg'
8.8740 	DATA 	Keypress: space
8.8775 	EXP 	Imported Train/Trials_list.csv as conditions, 28 conditions, 3 params
8.8780 	EXP 	Created sequence: random, trialTypes=28, nReps=4, seed=None
8.8784 	EXP 	New trial (rep=0, index=0): {'label1': u'mipuwe', 'Freq1': u'high', 'img_train': u'Stims/p4.bmp'}
8.9386 	EXP 	window1: blendMode = 'avg'
8.9560 	EXP 	inst2: autoDraw = False
8.9560 	EXP 	image_train1: image = u'Stims/p4.bmp'
8.9560 	EXP 	label_train1: text = u'mipuwe'
8.9560 	EXP 	text_3: text = u'mipuwe'
8.9560 	EXP 	text_3: autoDraw = True
8.9568 	EXP 	window1: blendMode = 'avg'
8.9752 	EXP 	window1: blendMode = 'avg'
8.9901 	EXP 	window1: blendMode = 'avg'
9.0071 	EXP 	window1: blendMode = 'avg'
9.0235 	EXP 	window1: blendMode = 'avg'
9.0405 	EXP 	window1: blendMode = 'avg'
9.0561 	EXP 	window1: blendMode = 'avg'
9.0714 	EXP 	window1: blendMode = 'avg'
9.0897 	EXP 	window1: blendMode = 'avg'
9.1066 	EXP 	window1: blendMode = 'avg'
9.1217 	EXP 	window1: blendMode = 'avg'
9.1403 	EXP 	window1: blendMode = 'avg'
9.1567 	EXP 	window1: blendMode = 'avg'
9.1736 	EXP 	window1: blendMode = 'avg'
9.1899 	EXP 	window1: blendMode = 'avg'
9.2068 	EXP 	window1: blendMode = 'avg'
9.2237 	EXP 	window1: blendMode = 'avg'
9.2400 	EXP 	window1: blendMode = 'avg'
9.2579 	EXP 	window1: blendMode = 'avg'
9.2739 	EXP 	window1: blendMode = 'avg'
9.2900 	EXP 	window1: blendMode = 'avg'
9.3065 	EXP 	window1: blendMode = 'avg'
9.3235 	EXP 	window1: blendMode = 'avg'
9.3403 	EXP 	window1: blendMode = 'avg'
9.3571 	EXP 	window1: blendMode = 'avg'
9.3731 	EXP 	window1: blendMode = 'avg'
9.3906 	EXP 	window1: blendMode = 'avg'
9.4107 	EXP 	window1: blendMode = 'avg'
9.4230 	EXP 	window1: blendMode = 'avg'
9.4408 	EXP 	window1: blendMode = 'avg'
9.4581 	EXP 	window1: blendMode = 'avg'
9.4755 	EXP 	window1: blendMode = 'avg'
9.4917 	EXP 	window1: blendMode = 'avg'
9.5079 	EXP 	window1: blendMode = 'avg'
9.5254 	EXP 	window1: blendMode = 'avg'
9.5421 	EXP 	window1: blendMode = 'avg'
9.5583 	EXP 	window1: blendMode = 'avg'
9.5746 	EXP 	window1: blendMode = 'avg'
9.5905 	EXP 	window1: blendMode = 'avg'
9.6064 	EXP 	window1: blendMode = 'avg'
9.6247 	EXP 	window1: blendMode = 'avg'
9.6414 	EXP 	window1: blendMode = 'avg'
9.6575 	EXP 	window1: blendMode = 'avg'
9.6748 	EXP 	window1: blendMode = 'avg'
9.6910 	EXP 	window1: blendMode = 'avg'
9.7085 	EXP 	window1: blendMode = 'avg'
9.7247 	EXP 	window1: blendMode = 'avg'
9.7414 	EXP 	window1: blendMode = 'avg'
9.7579 	EXP 	window1: blendMode = 'avg'
9.7753 	EXP 	window1: blendMode = 'avg'
9.7916 	EXP 	window1: blendMode = 'avg'
9.8079 	EXP 	window1: blendMode = 'avg'
9.8254 	EXP 	window1: blendMode = 'avg'
9.8407 	EXP 	window1: blendMode = 'avg'
9.8580 	EXP 	window1: blendMode = 'avg'
9.8743 	EXP 	window1: blendMode = 'avg'
9.8920 	EXP 	window1: blendMode = 'avg'
9.9080 	EXP 	window1: blendMode = 'avg'
9.9239 	EXP 	window1: blendMode = 'avg'
9.9423 	EXP 	window1: blendMode = 'avg'
9.9592 	EXP 	window1: blendMode = 'avg'
9.9732 	EXP 	window1: blendMode = 'avg'
9.9918 	EXP 	window1: blendMode = 'avg'
10.0087 	EXP 	window1: blendMode = 'avg'
10.0250 	EXP 	window1: blendMode = 'avg'
10.0415 	EXP 	window1: blendMode = 'avg'
10.0585 	EXP 	window1: blendMode = 'avg'
10.0746 	EXP 	window1: blendMode = 'avg'
10.0915 	EXP 	window1: blendMode = 'avg'
10.1086 	EXP 	window1: blendMode = 'avg'
10.1246 	EXP 	window1: blendMode = 'avg'
10.1416 	EXP 	window1: blendMode = 'avg'
10.1576 	EXP 	window1: blendMode = 'avg'
10.1750 	EXP 	window1: blendMode = 'avg'
10.1915 	EXP 	window1: blendMode = 'avg'
10.2093 	EXP 	window1: blendMode = 'avg'
10.2248 	EXP 	window1: blendMode = 'avg'
10.2416 	EXP 	window1: blendMode = 'avg'
10.2592 	EXP 	window1: blendMode = 'avg'
10.2735 	EXP 	window1: blendMode = 'avg'
10.2919 	EXP 	window1: blendMode = 'avg'
